Company,TypeName,Ram,Weight,Price_MYR,Touchscreen,Ips,ppi,CPU GHz,Cpu brand,HDD,SSD,GPU Brand,Operating System
Apple,Ultrabook,8,1.37,4037.01,0,1,226.9830047,2,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,1049.79,0,0,100.4546699,2,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,8,3.2,3695.61,0,0,127.3356746,3,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,1817.93,0,0,141.2119981,2.5,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,1325.76,0,0,90.58340172,1.1,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,907.54,1,1,224.1738091,1.44,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,8,2.2,2392.62,0,1,141.2119981,1.8,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,1133.69,0,0,141.2119981,2.5,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,3138,0,0,165.6321181,1.8,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,1092.47,0,0,100.4546699,2.4,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,2184.37,0,0,141.2119981,1.8,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,1248.94,0,0,141.2119981,2,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2,1667.69,0,0,100.4546699,2.5,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,6967.33,0,0,127.3356746,2.8,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2,1180.66,0,0,141.2119981,2,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,16,2.8,3695.61,0,0,127.3356746,1.8,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,2500.73,0,0,157.3505121,1.6,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,1704.14,0,1,157.3505121,2.7,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,8,1.4,2677.12,0,0,157.3505121,1.6,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,1963.03,0,0,141.2119981,2.5,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,5641.57,0,0,141.2119981,2.8,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,1248.06,0,0,100.4546699,2,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,651.5,0,0,111.9352036,1.6,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,1561.89,0,0,141.2119981,2.5,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3,2699.88,0,0,127.3356746,2.8,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,4,1.252,3098.17,1,0,200.8425599,2.5,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,2716.94,0,1,165.6321181,1.8,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,2475.12,0,0,141.2119981,1.8,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,3115.24,0,0,127.3356746,2.5,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,1106.69,0,0,111.9352036,2,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,2699.88,0,0,141.2119981,2.8,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,1476.54,0,0,141.2119981,2.5,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,8,2.02,2432.45,0,0,141.2119981,1.8,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,1507.83,0,0,141.2119981,2.7,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,2779.53,0,0,127.3356746,1.6,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,3118.54,0,1,141.2119981,1.6,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,4295.9,0,1,226.4155472,1.3,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,2446.67,0,0,157.3505121,1.6,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,1135.14,0,0,141.2119981,2.5,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,1123.76,0,0,100.4546699,3,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,3837.86,0,1,141.2119981,2.8,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,1988.63,0,1,141.2119981,1.8,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,1704.11,0,0,141.2119981,2.5,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,4122.36,0,1,141.2119981,2.8,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,4691.35,0,1,165.6321181,1.8,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,1988.63,0,0,141.2119981,3,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,1960.18,0,0,141.2119981,1.8,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,3405.43,0,0,165.6321181,1.8,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,3399.74,0,0,141.2119981,2.5,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,2984.37,0,0,157.3505121,2.7,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,2409.69,1,1,165.6321181,1.6,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,1706.7,0,0,141.2119981,2.7,Intel Core i7,1000,0,AMD,Others/No OS/Linux
Dell,Notebook,4,2.2,1379.81,0,0,141.2119981,2,Intel Core i3,0,256,AMD,Others/No OS/Linux
Asus,Notebook,6,2,1641.55,0,0,141.2119981,2.4,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,3553.37,0,1,141.2119981,2.8,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,2045.53,0,0,141.2119981,2.7,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,992.89,0,0,141.2119981,1.5,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,1840.69,0,0,141.2119981,1.6,Intel Core i5,1000,0,AMD,Others/No OS/Linux
HP,Ultrabook,8,1.38,3183.52,0,1,165.6321181,2.7,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,3812.26,1,0,200.8425599,2.5,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,1874.83,0,1,157.3505121,2.5,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,1180.38,0,0,141.2119981,2,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,3394.05,0,1,157.3505121,2.7,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,3695.61,0,0,141.2119981,2.8,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,4210.55,0,1,157.3505121,2.7,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,3590.35,0,0,141.2119981,1.8,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,3923.21,1,0,276.0535301,2.4,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,3980.11,1,1,165.6321181,2.5,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,2054.07,0,1,111.9352036,1.6,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,4634.45,0,1,165.6321181,1.6,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,3980.08,1,1,165.6321181,1.6,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,3083.95,0,0,157.3505121,1.8,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,3215.75,0,1,141.2119981,1.8,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2,1604.56,0,0,127.3356746,2,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,3180.67,0,0,141.2119981,1.8,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,1362.74,1,1,141.2119981,2.4,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,6377,0,0,141.2119981,2.8,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,1789.49,0,0,141.2119981,2.5,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
HP,Notebook,16,2.5,3615.95,0,0,127.3356746,1.8,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,1283.08,0,0,100.4546699,3,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,736.85,0,0,100.4546699,1.6,Other Intel Processor,500,0,Intel,Others/No OS/Linux
HP,Notebook,8,1.63,2310.11,0,0,157.3505121,1.6,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,790.87,0,0,111.9352036,1.5,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,3971.58,0,0,127.3356746,1.8,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,2640.13,0,0,127.3356746,1.6,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,1817.91,0,0,100.4546699,2.5,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,1277.39,0,0,141.2119981,2,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,2514.95,0,1,157.3505121,1.8,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,1627.32,0,0,141.2119981,2.7,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,1701.29,0,0,100.4546699,2.7,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,2810.83,0,0,157.3505121,1.8,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,717.96,0,0,100.4546699,1.1,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
Asus,Gaming,8,3,2668.58,0,0,127.3356746,2.5,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,1419.64,0,0,141.2119981,2.5,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,4,1.32,1988.63,0,1,165.6321181,2.5,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3,1863.45,0,1,127.3356746,2.7,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,3175.04,0,1,157.3505121,1.6,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,2472.28,0,1,141.2119981,2.8,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
Toshiba,Notebook,4,2.1,1712.67,0,0,100.4546699,2.3,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,1049.79,0,0,100.4546699,2.5,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,3126.62,0,0,157.3505121,1.8,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,5729.77,1,1,352.4651472,1.2,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2,978.67,0,0,141.2119981,1.1,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,5772.44,0,0,127.3356746,2.8,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,1271.7,0,0,100.4546699,2,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,3554.11,0,0,141.2119981,2.8,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,2557.63,0,0,141.2119981,2.8,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,1416.79,0,0,100.4546699,2.5,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,5376.99,0,0,127.3356746,2.8,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,3078.26,0,0,157.3505121,2.7,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,1761.04,0,0,141.2119981,1.6,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,1789.49,1,1,157.3505121,2.4,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,3741.13,1,0,165.6321181,1.6,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,2984.37,1,0,141.2119981,1.8,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,1271.7,0,0,100.4546699,2.2,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,1146.52,0,0,100.4546699,3,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3,2290.2,0,1,127.3356746,1.6,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,2071.14,0,0,141.2119981,1.6,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,3069.72,0,1,141.2119981,2.8,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,990.05,0,0,100.4546699,1.1,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,5118.1,0,1,141.2119981,2.8,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,1034.17,0,0,100.4546699,1.1,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,3017.06,0,0,141.2119981,2.8,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3,2429.6,0,1,127.3356746,1.6,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,2145.11,0,1,165.6321181,1.6,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,3837.86,0,1,199.6920706,2.5,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,1988.63,0,1,127.3356746,2.5,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,879.1,0,0,100.4546699,2.9,AMD Processor,500,0,AMD,Others/No OS/Linux
Toshiba,Notebook,4,2,1391.19,0,0,100.4546699,2.4,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,2625.91,0,0,127.3356746,1.6,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,1305.84,0,0,100.4546699,2.4,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,1277.39,0,0,100.4546699,2,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,7963.07,0,0,119.7232158,2.9,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,2312.96,0,0,141.2119981,2.5,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,4264.61,1,1,331.2642361,1.6,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,2984.37,0,0,141.2119981,1.8,Intel Core i7,2000,256,AMD,Others/No OS/Linux
Dell,Ultrabook,8,1.23,3980.11,0,0,165.6321181,1.6,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,5260.35,1,1,316.9650604,1.8,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2,2256.06,0,0,100.4546699,2.5,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,3411.12,0,1,141.2119981,1.6,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,Notebook,16,2.77,4406.86,1,0,127.3356746,1.8,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,6819.39,1,0,282.4239962,2.8,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,2216.23,0,1,141.2119981,2.5,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Acer,Ultrabook,8,1.12,2813.67,0,1,165.6321181,1.2,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,3086.79,0,0,127.3356746,1.8,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,8034.19,1,0,209.8006829,2.7,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,739.69,0,1,157.3505121,1.1,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,2844.68,0,1,165.6321181,2.5,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Lenovo,Notebook,8,2.8,1985.79,0,0,106.1130621,1.6,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
Dell,2 in 1 Convertible,8,1.62,2386.93,1,1,165.6321181,1.8,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,2600.3,0,1,127.3356746,1.6,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,17351.46,1,0,254.6713491,2.9,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,2728.32,0,0,165.6321181,1.6,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,3923.21,0,1,127.3356746,2.8,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,2972.99,0,0,127.3356746,1.8,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,5248.97,0,1,282.4239962,2.8,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,1402.57,0,0,100.4546699,2.3,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,2110.97,0,0,141.2119981,2.7,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,4975.85,0,1,141.2119981,2.8,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,8691.38,0,0,282.4239962,3,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,3977.27,0,0,141.2119981,2.8,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
Dell,Notebook,6,2.3,1248.94,1,0,100.4546699,2.4,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,5544.84,1,1,331.2642361,1.8,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,4122.36,0,0,165.6321181,1.8,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,1698.45,0,0,100.4546699,2.5,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,2216.23,0,0,141.2119981,2.8,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Asus,Gaming,16,2.9,4002.87,0,0,127.3356746,2.8,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,992.89,0,0,141.2119981,2,Intel Core i3,500,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,2.2,1561.89,0,0,141.2119981,2.5,Intel Core i5,0,256,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,1.05,4264.61,0,1,199.6920706,2.7,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,2651.17,0,1,165.6321181,1.8,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,1675.69,0,0,106.1130621,2.5,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,1.63,2933.16,0,0,157.3505121,1.8,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,3268.87,0,0,157.3505121,1.6,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,3638.71,1,0,165.6321181,1.8,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,1927.04,0,0,141.2119981,1.6,Intel Core i5,0,256,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,1.74,2557.63,0,1,157.3505121,1.6,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,3877.69,0,0,165.6321181,2.5,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,2258.9,0,0,141.2119981,1.6,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,6988.21,0,1,127.3356746,2.8,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,2367.01,0,0,141.2119981,2.7,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,2443.86,1,0,141.2119981,2.7,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2,2187.78,0,0,141.2119981,2.5,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,2534.87,0,0,127.3356746,2.5,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,3610.26,0,0,141.2119981,2.7,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,1135.11,0,0,100.4546699,2.4,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,938.84,0,0,100.4546699,1.5,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,4264.61,0,1,141.2119981,2.8,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,2443.83,0,0,157.3505121,2.5,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,1960.18,1,1,165.6321181,2.3,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,2557.63,0,0,141.2119981,2.7,Intel Core i7,0,256,AMD,Others/No OS/Linux
Acer,Notebook,4,2.1,1109.54,0,0,100.4546699,2,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Asus,Notebook,4,2.2,1635.86,0,0,141.2119981,2.5,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,11066.93,0,0,127.3356746,2.9,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,2406.84,0,1,141.2119981,2.5,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,1675.69,0,0,100.4546699,2,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,3257.49,0,0,127.3356746,1.8,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,2529.18,0,0,127.3356746,2.7,Intel Core i7,1000,128,Nvidia,Others/No OS/Linux
Dell,Gaming,8,2.56,2500.73,0,0,141.2119981,2.5,Intel Core i5,0,256,Nvidia,Windows
