,Company,TypeName,Ram,Weight,Price_MYR,Touchscreen,Ips,ppi,CPU GHz,Cpu brand,HDD,SSD,GPU Brand,Operating System
41,Dell,Gaming,16,2.65,4264.61,0,1,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia,Windows
42,Asus,Notebook,8,2.3,1487.89,0,0,100.45466986113651,2.5,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
43,Acer,Notebook,4,2.2,1940.27,0,1,141.21199808219862,1.6,Intel Core i5,0,256,Intel,Windows
44,Dell,2 in 1 Convertible,12,2.77,2842.12,1,0,127.33567457123111,1.6,Intel Core i5,1000,0,Nvidia,Windows
45,Apple,Ultrabook,8,1.37,4037.01,0,1,226.98300468106115,2.0,Intel Core i5,0,256,Intel,Mac
46,Lenovo,Notebook,4,2.2,1049.79,0,0,100.45466986113651,2.0,Intel Core i3,0,128,Intel,Others/No OS/Linux
47,Asus,Gaming,8,3.2,3695.61,0,0,127.33567457123111,3.0,AMD Processor,1000,256,AMD,Windows
48,Dell,Notebook,4,2.3,1817.93,0,0,141.21199808219862,2.5,Intel Core i5,0,256,AMD,Windows
49,Asus,Notebook,4,2.8,1325.76,0,0,90.58340172449303,1.1,Other Intel Processor,1000,0,Nvidia,Windows
50,Lenovo,2 in 1 Convertible,4,0.69,907.54,1,1,224.17380907857276,1.44,Other Intel Processor,0,0,Intel,Others/No OS/Linux
51,Acer,Notebook,8,2.2,2392.62,0,1,141.21199808219862,1.8,Intel Core i7,0,256,Nvidia,Windows
52,HP,Notebook,4,1.86,1133.69,0,0,141.21199808219862,2.5,AMD Processor,0,256,AMD,Windows
53,HP,Notebook,8,1.49,3138.0,0,0,165.6321180513006,1.8,Intel Core i7,0,512,Intel,Windows
54,Acer,Notebook,4,2.4,1092.47,0,0,100.45466986113651,2.4,Intel Core i3,1000,0,Intel,Windows
55,Dell,Notebook,8,2.13,2184.37,0,0,141.21199808219862,1.8,Intel Core i7,0,256,AMD,Windows
56,HP,Notebook,4,1.91,1248.94,0,0,141.21199808219862,2.0,Intel Core i3,0,128,Intel,Windows
57,Asus,Notebook,4,2.0,1667.69,0,0,100.45466986113651,2.5,Intel Core i5,0,256,Intel,Windows
58,MSI,Gaming,16,2.43,6967.33,0,0,127.33567457123111,2.8,Intel Core i7,2000,256,Nvidia,Windows
59,Asus,Notebook,4,2.0,1180.66,0,0,141.21199808219862,2.0,Intel Core i3,0,256,Intel,Others/No OS/Linux
60,Dell,Notebook,16,2.8,3695.61,0,0,127.33567457123111,1.8,Intel Core i7,2000,256,AMD,Windows
61,Dell,Ultrabook,8,1.7,2500.73,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel,Windows
62,Lenovo,Notebook,8,1.7,1704.14,0,1,157.3505121487356,2.7,Intel Core i3,0,256,Intel,Others/No OS/Linux
63,Asus,Notebook,8,1.4,2677.12,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel,Windows
64,HP,Notebook,8,1.86,1963.03,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel,Windows
65,Asus,Ultrabook,16,1.8,5641.57,0,0,141.21199808219862,2.8,Intel Core i7,0,512,Nvidia,Windows
66,HP,Notebook,4,1.86,1248.06,0,0,100.45466986113651,2.0,Intel Core i3,500,0,AMD,Windows
67,HP,Notebook,4,1.44,651.5,0,0,111.93520355955211,1.6,Other Intel Processor,0,32,Intel,Windows
68,Lenovo,Notebook,4,1.9,1561.89,0,0,141.21199808219862,2.5,Intel Core i5,1000,0,Intel,Windows
69,Asus,Gaming,12,3.0,2699.88,0,0,127.33567457123111,2.8,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
70,Microsoft,Ultrabook,4,1.252,3098.17,1,0,200.84255993695703,2.5,Intel Core i5,0,128,Intel,Windows
71,Dell,Ultrabook,8,1.4,2716.94,0,1,165.6321180513006,1.8,Intel Core i7,0,256,AMD,Windows
72,Dell,Notebook,8,2.2,2475.12,0,0,141.21199808219862,1.8,Intel Core i7,0,256,AMD,Windows
73,MSI,Gaming,8,2.7,3115.24,0,0,127.33567457123111,2.5,Intel Core i5,1000,128,Nvidia,Windows
74,Acer,Notebook,8,2.1,1106.69,0,0,111.93520355955211,2.0,Intel Core i3,1000,0,Intel,Windows
75,Asus,Gaming,8,2.2,2699.88,0,0,141.21199808219862,2.8,Intel Core i7,1000,0,Nvidia,Windows
76,Lenovo,Notebook,8,2.2,1476.54,0,0,141.21199808219862,2.5,Intel Core i5,2000,0,Intel,Others/No OS/Linux
77,Dell,Notebook,8,2.02,2432.45,0,0,141.21199808219862,1.8,Intel Core i7,1000,128,Intel,Windows
78,Acer,Notebook,4,2.2,1507.83,0,0,141.21199808219862,2.7,Intel Core i3,1000,0,Nvidia,Windows
79,HP,Notebook,8,2.5,2779.53,0,0,127.33567457123111,1.6,Intel Core i5,1000,128,Nvidia,Windows
80,Dell,Ultrabook,8,1.88,3118.54,0,1,141.21199808219862,1.6,Intel Core i5,0,256,Intel,Windows
81,Apple,Ultrabook,8,0.92,4295.9,0,1,226.41554716935852,1.3,Intel Core i5,0,512,Intel,Mac
82,HP,Notebook,8,1.63,2446.67,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel,Windows
83,Lenovo,Notebook,4,2.2,1135.14,0,0,141.21199808219862,2.5,AMD Processor,0,128,AMD,Windows
84,Acer,Notebook,4,2.1,1123.76,0,0,100.45466986113651,3.0,AMD Processor,1000,0,AMD,Windows
85,Dell,Gaming,16,2.65,3837.86,0,1,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia,Windows
86,HP,Ultrabook,8,1.83,1988.63,0,1,141.21199808219862,1.8,Intel Core i7,0,256,Nvidia,Windows
87,HP,Notebook,8,1.96,1704.11,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel,Windows
88,Asus,Gaming,16,2.2,4122.36,0,1,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia,Windows
89,Dell,Ultrabook,8,1.21,4691.35,0,1,165.6321180513006,1.8,Intel Core i7,0,256,Intel,Windows
90,Asus,Gaming,8,2.45,1988.63,0,0,141.21199808219862,3.0,AMD Processor,1000,0,AMD,Windows
91,Acer,Notebook,8,2.2,1960.18,0,0,141.21199808219862,1.8,Intel Core i7,1000,0,Nvidia,Windows
92,HP,Notebook,16,1.49,3405.43,0,0,165.6321180513006,1.8,Intel Core i7,0,512,Intel,Windows
93,Dell,Gaming,8,2.65,3399.74,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia,Windows
94,Asus,Ultrabook,8,1.25,2984.37,0,0,157.3505121487356,2.7,Intel Core i7,0,256,Intel,Windows
95,Acer,2 in 1 Convertible,8,1.5,2409.69,1,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel,Windows
96,Dell,Notebook,8,2.2,1706.7,0,0,141.21199808219862,2.7,Intel Core i7,1000,0,AMD,Others/No OS/Linux
97,Dell,Notebook,4,2.2,1379.81,0,0,141.21199808219862,2.0,Intel Core i3,0,256,AMD,Others/No OS/Linux
98,Asus,Notebook,6,2.0,1641.55,0,0,141.21199808219862,2.4,Intel Core i3,0,256,Nvidia,Windows
99,HP,Gaming,12,2.62,3553.37,0,1,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia,Windows
100,HP,Notebook,8,1.91,2045.53,0,0,141.21199808219862,2.7,Intel Core i7,0,256,AMD,Windows
101,HP,Notebook,4,2.1,992.89,0,0,141.21199808219862,1.5,AMD Processor,500,0,AMD,Windows
102,Dell,Notebook,8,2.2,1840.69,0,0,141.21199808219862,1.6,Intel Core i5,1000,0,AMD,Others/No OS/Linux
103,HP,Ultrabook,8,1.38,3183.52,0,1,165.6321180513006,2.7,Intel Core i7,0,256,Nvidia,Windows
104,Microsoft,Ultrabook,8,1.252,3812.26,1,0,200.84255993695703,2.5,Intel Core i5,0,256,Intel,Windows
105,HP,Notebook,6,1.58,1874.83,0,1,157.3505121487356,2.5,Intel Core i5,0,256,Nvidia,Windows
106,Lenovo,Notebook,4,1.85,1180.38,0,0,141.21199808219862,2.0,Intel Core i3,1000,0,Intel,Windows
107,Asus,Ultrabook,8,1.3,3394.05,0,1,157.3505121487356,2.7,Intel Core i7,0,256,Nvidia,Windows
108,MSI,Gaming,16,2.2,3695.61,0,0,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia,Windows
109,Lenovo,Notebook,8,1.58,4210.55,0,1,157.3505121487356,2.7,Intel Core i7,0,256,Intel,Windows
110,Asus,Ultrabook,16,1.5,3590.35,0,0,141.21199808219862,1.8,Intel Core i7,1000,256,Nvidia,Windows
111,Dell,Ultrabook,8,1.23,3923.21,1,0,276.053530085501,2.4,Intel Core i7,0,256,Intel,Windows
112,Lenovo,2 in 1 Convertible,8,1.37,3980.11,1,1,165.6321180513006,2.5,Intel Core i5,0,256,Intel,Windows
113,HP,Notebook,4,1.63,2054.07,0,1,111.93520355955211,1.6,Intel Core i5,500,0,Intel,Windows
114,Dell,Ultrabook,8,1.21,4634.45,0,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel,Windows
115,HP,2 in 1 Convertible,8,1.26,3980.08,1,1,165.6321180513006,1.6,Intel Core i5,0,256,Intel,Windows
116,HP,Notebook,8,1.63,3083.95,0,0,157.3505121487356,1.8,Intel Core i7,0,512,Intel,Windows
117,Dell,Notebook,8,2.16,3215.75,0,1,141.21199808219862,1.8,Intel Core i7,1000,256,Nvidia,Windows
118,Asus,Notebook,4,2.0,1604.56,0,0,127.33567457123111,2.0,Intel Core i3,1000,0,Nvidia,Windows
119,Asus,Notebook,8,1.7,3180.67,0,0,141.21199808219862,1.8,Intel Core i7,0,256,Nvidia,Windows
120,Acer,Notebook,6,2.1,1362.74,1,1,141.21199808219862,2.4,Intel Core i3,1000,0,Intel,Windows
121,MSI,Gaming,16,1.8,6377.0,0,0,141.21199808219862,2.8,Intel Core i7,2000,256,Nvidia,Windows
122,Lenovo,Notebook,8,2.2,1789.49,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
123,HP,Notebook,16,2.5,3615.95,0,0,127.33567457123111,1.8,Intel Core i7,0,512,Nvidia,Windows
124,Acer,Notebook,4,2.1,1283.08,0,0,100.45466986113651,3.0,AMD Processor,0,256,AMD,Windows
125,HP,Notebook,4,1.86,736.85,0,0,100.45466986113651,1.6,Other Intel Processor,500,0,Intel,Others/No OS/Linux
126,HP,Notebook,8,1.63,2310.11,0,0,157.3505121487356,1.6,Intel Core i5,1000,0,Intel,Windows
127,Asus,Notebook,4,1.65,790.87,0,0,111.93520355955211,1.5,AMD Processor,0,64,AMD,Windows
128,Dell,Notebook,16,2.8,3971.58,0,0,127.33567457123111,1.8,Intel Core i7,2000,256,AMD,Windows
129,HP,Notebook,8,2.5,2640.13,0,0,127.33567457123111,1.6,Intel Core i5,0,256,Intel,Windows
130,Dell,Notebook,8,2.36,1817.91,0,0,100.45466986113651,2.5,Intel Core i5,1000,0,AMD,Windows
131,Dell,Notebook,4,2.2,1277.39,0,0,141.21199808219862,2.0,Intel Core i3,1000,0,AMD,Windows
132,Acer,Ultrabook,8,1.6,2514.95,0,1,157.3505121487356,1.8,Intel Core i7,0,256,Intel,Windows
133,Acer,Notebook,4,2.2,1627.32,0,0,141.21199808219862,2.7,Intel Core i3,0,256,Nvidia,Windows
134,HP,Notebook,8,2.05,1701.29,0,0,100.45466986113651,2.7,Intel Core i7,1000,0,Intel,Windows
135,HP,Notebook,8,1.63,2810.83,0,0,157.3505121487356,1.8,Intel Core i7,0,256,Intel,Windows
136,Lenovo,Notebook,4,1.9,717.96,0,0,100.45466986113651,1.1,Other Intel Processor,1000,0,Intel,Others/No OS/Linux
137,Asus,Gaming,8,3.0,2668.58,0,0,127.33567457123111,2.5,Intel Core i5,1000,128,Nvidia,Windows
138,Lenovo,Notebook,4,2.2,1419.64,0,0,141.21199808219862,2.5,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
139,HP,Notebook,4,1.32,1988.63,0,1,165.6321180513006,2.5,Intel Core i5,0,256,Intel,Windows
140,Acer,Notebook,4,3.0,1863.45,0,1,127.33567457123111,2.7,Intel Core i3,1000,0,Nvidia,Windows
141,Lenovo,Notebook,8,1.75,3175.04,0,1,157.3505121487356,1.6,Intel Core i5,0,256,AMD,Windows
142,Lenovo,Gaming,8,2.4,2472.28,0,1,141.21199808219862,2.8,Intel Core i7,0,256,Nvidia,Others/No OS/Linux
143,Toshiba,Notebook,4,2.1,1712.67,0,0,100.45466986113651,2.3,Intel Core i5,500,0,Intel,Windows
144,HP,Notebook,4,1.86,1049.79,0,0,100.45466986113651,2.5,AMD Processor,0,256,AMD,Windows
145,Asus,Ultrabook,8,1.25,3126.62,0,0,157.3505121487356,1.8,Intel Core i7,0,256,Intel,Windows
146,HP,Ultrabook,8,0.97,5729.77,1,1,352.4651472131677,1.2,Other Intel Processor,0,512,Intel,Windows
147,Asus,Notebook,4,2.0,978.67,0,0,141.21199808219862,1.1,Other Intel Processor,1000,0,Intel,Windows
148,MSI,Gaming,16,2.9,5772.44,0,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia,Windows
149,Acer,Notebook,4,2.1,1271.7,0,0,100.45466986113651,2.0,Intel Core i3,1000,0,Intel,Windows
150,Dell,Gaming,16,2.56,3554.11,0,0,141.21199808219862,2.8,Intel Core i7,0,512,Nvidia,Windows
151,Dell,Gaming,8,2.62,2557.63,0,0,141.21199808219862,2.8,Intel Core i7,0,0,Nvidia,Windows
152,Lenovo,Notebook,4,1.9,1416.79,0,0,100.45466986113651,2.5,Intel Core i5,0,128,Intel,Windows
153,MSI,Gaming,16,2.8,5376.99,0,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia,Windows
154,HP,Ultrabook,4,1.48,3078.26,0,0,157.3505121487356,2.7,Intel Core i5,0,256,Intel,Windows
155,HP,Notebook,6,1.91,1761.04,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD,Windows
156,Lenovo,2 in 1 Convertible,4,1.74,1789.49,1,1,157.3505121487356,2.4,Intel Core i3,0,256,Intel,Windows
157,Asus,2 in 1 Convertible,8,1.1,3741.13,1,0,165.6321180513006,1.6,Intel Core i5,0,256,Intel,Windows
158,Dell,2 in 1 Convertible,8,1.56,2984.37,1,0,141.21199808219862,1.8,Intel Core i7,0,256,Intel,Windows
159,Toshiba,Notebook,4,2.1,1271.7,0,0,100.45466986113651,2.2,Intel Core i3,500,0,Intel,Windows
160,Asus,Notebook,4,2.03,1146.52,0,0,100.45466986113651,3.0,AMD Processor,1000,0,AMD,Windows
161,Acer,Notebook,4,3.0,2290.2,0,1,127.33567457123111,1.6,Intel Core i5,0,256,Nvidia,Windows
162,Dell,Notebook,8,2.13,2071.14,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD,Windows
163,Lenovo,Gaming,16,2.5,3069.72,0,1,141.21199808219862,2.8,Intel Core i7,0,256,Nvidia,Windows
164,Acer,Notebook,4,2.1,990.05,0,0,100.45466986113651,1.1,Other Intel Processor,1000,0,Intel,Windows
165,MSI,Gaming,16,2.4,5118.1,0,1,141.21199808219862,2.8,Intel Core i7,1000,256,Nvidia,Windows
166,Acer,Notebook,4,2.1,1034.17,0,0,100.45466986113651,1.1,Other Intel Processor,1000,0,Intel,Windows
167,Dell,Gaming,8,2.56,3017.06,0,0,141.21199808219862,2.8,Intel Core i7,1000,128,Nvidia,Windows
168,Acer,Notebook,8,3.0,2429.6,0,1,127.33567457123111,1.6,Intel Core i5,0,256,Nvidia,Windows
169,HP,Notebook,4,1.49,2145.11,0,1,165.6321180513006,1.6,Intel Core i5,500,0,Intel,Windows
170,Huawei,Ultrabook,8,1.05,3837.86,0,1,199.69207064108247,2.5,Intel Core i5,0,256,Intel,Windows
171,HP,Notebook,6,2.71,1988.63,0,1,127.33567457123111,2.5,Intel Core i5,2000,0,AMD,Windows
172,Lenovo,Notebook,4,2.2,879.1,0,0,100.45466986113651,2.9,AMD Processor,500,0,AMD,Others/No OS/Linux
173,Toshiba,Notebook,4,2.0,1391.19,0,0,100.45466986113651,2.4,Intel Core i3,500,0,Intel,Windows
174,HP,Notebook,8,2.5,2625.91,0,0,127.33567457123111,1.6,Intel Core i5,0,256,Nvidia,Windows
175,Dell,Notebook,8,2.3,1305.84,0,0,100.45466986113651,2.4,Intel Core i3,1000,0,Intel,Windows
176,Acer,Notebook,4,2.1,1277.39,0,0,100.45466986113651,2.0,Intel Core i3,0,128,Intel,Windows
177,MSI,Gaming,32,4.4,7963.07,0,0,119.7232157653423,2.9,Intel Core i7,1000,512,Nvidia,Windows
178,Lenovo,Notebook,8,1.9,2312.96,0,0,141.21199808219862,2.5,Intel Core i5,1000,128,AMD,Windows
179,HP,2 in 1 Convertible,8,1.29,4264.61,1,1,331.2642361026012,1.6,Intel Core i5,0,256,Intel,Windows
180,Dell,Notebook,16,2.02,2984.37,0,0,141.21199808219862,1.8,Intel Core i7,2000,256,AMD,Others/No OS/Linux
181,Dell,Ultrabook,8,1.23,3980.11,0,0,165.6321180513006,1.6,Intel Core i5,0,256,Intel,Windows
182,Lenovo,2 in 1 Convertible,16,1.4,5260.35,1,1,316.96506044349616,1.8,Intel Core i7,0,512,Intel,Windows
183,Toshiba,Notebook,8,2.0,2256.06,0,0,100.45466986113651,2.5,Intel Core i5,0,128,Intel,Windows
184,Xiaomi,Notebook,8,1.95,3411.12,0,1,141.21199808219862,1.6,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
185,Dell,Notebook,16,2.77,4406.86,1,0,127.33567457123111,1.8,Intel Core i7,0,512,Nvidia,Windows
186,Dell,Notebook,16,2.06,6819.39,1,0,282.42399616439724,2.8,Intel Core i7,0,512,Nvidia,Windows
187,Lenovo,Gaming,8,2.4,2216.23,0,1,141.21199808219862,2.5,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
188,Acer,Ultrabook,8,1.12,2813.67,0,1,165.6321180513006,1.2,Intel Core i5,0,256,Intel,Windows
189,Dell,Notebook,8,2.8,3086.79,0,0,127.33567457123111,1.8,Intel Core i7,1000,128,AMD,Windows
190,Lenovo,2 in 1 Convertible,16,1.42,8034.19,1,0,209.8006828649808,2.7,Intel Core i7,0,1000,Intel,Windows
191,Vero,Notebook,4,1.3,739.69,0,1,157.3505121487356,1.1,Other Intel Processor,0,0,Intel,Windows
192,Xiaomi,Ultrabook,8,1.3,2844.68,0,1,165.6321180513006,2.5,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
193,Lenovo,Notebook,8,2.8,1985.79,0,0,106.11306214269258,1.6,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
194,Dell,2 in 1 Convertible,8,1.62,2386.93,1,1,165.6321180513006,1.8,Intel Core i7,1000,0,Intel,Windows
195,HP,Notebook,8,2.5,2600.3,0,1,127.33567457123111,1.6,Intel Core i5,1000,0,Nvidia,Windows
196,Razer,Gaming,32,3.49,17351.46,1,0,254.67134914246222,2.9,Intel Core i7,0,1000,Nvidia,Windows
197,HP,Notebook,8,1.49,2728.32,0,0,165.6321180513006,1.6,Intel Core i5,0,512,Intel,Windows
198,HP,Gaming,16,3.35,3923.21,0,1,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia,Windows
199,HP,Notebook,8,2.5,2972.99,0,0,127.33567457123111,1.8,Intel Core i7,0,256,Nvidia,Windows
200,Dell,Gaming,16,2.65,5248.97,0,1,282.42399616439724,2.8,Intel Core i7,1000,512,Nvidia,Windows
201,Lenovo,Notebook,4,2.1,1402.57,0,0,100.45466986113651,2.3,Intel Core i5,0,128,Intel,Windows
202,Acer,Notebook,8,2.23,2110.97,0,0,141.21199808219862,2.7,Intel Core i7,1000,0,Nvidia,Windows
203,Lenovo,Gaming,16,3.2,4975.85,0,1,141.21199808219862,2.8,Intel Core i7,1000,512,Nvidia,Windows
204,Dell,Workstation,16,2.8,8691.38,0,0,282.42399616439724,3.0,Other Intel Processor,1000,256,Nvidia,Windows
205,Lenovo,Gaming,16,2.4,3977.27,0,0,141.21199808219862,2.8,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
206,Dell,Notebook,6,2.3,1248.94,1,0,100.45466986113651,2.4,Intel Core i3,1000,0,Intel,Windows
207,Dell,Ultrabook,8,1.21,5544.84,1,1,331.2642361026012,1.8,Intel Core i7,0,256,Intel,Windows
208,Dell,Ultrabook,8,1.2,4122.36,0,0,165.6321180513006,1.8,Intel Core i7,0,256,Intel,Windows
209,Lenovo,Notebook,8,2.2,1698.45,0,0,100.45466986113651,2.5,Intel Core i5,0,256,Intel,Windows
210,Acer,Notebook,8,2.4,2216.23,0,0,141.21199808219862,2.8,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
211,Asus,Gaming,16,2.9,4002.87,0,0,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia,Windows
212,HP,Notebook,4,2.1,992.89,0,0,141.21199808219862,2.0,Intel Core i3,500,0,Intel,Others/No OS/Linux
213,Lenovo,Notebook,8,2.2,1561.89,0,0,141.21199808219862,2.5,Intel Core i5,0,256,Intel,Others/No OS/Linux
214,Huawei,Ultrabook,8,1.05,4264.61,0,1,199.69207064108247,2.7,Intel Core i7,0,512,Intel,Windows
215,Dell,Ultrabook,8,1.4,2651.17,0,1,165.6321180513006,1.8,Intel Core i7,0,256,AMD,Windows
216,Lenovo,Notebook,8,2.8,1675.69,0,0,106.11306214269258,2.5,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
217,HP,Notebook,8,1.63,2933.16,0,0,157.3505121487356,1.8,Intel Core i7,0,256,Nvidia,Windows
218,Dell,Ultrabook,8,1.6,3268.87,0,0,157.3505121487356,1.6,Intel Core i5,0,256,Intel,Windows
219,Dell,2 in 1 Convertible,16,1.62,3638.71,1,0,165.6321180513006,1.8,Intel Core i7,0,512,Intel,Windows
220,Dell,Notebook,8,2.2,1927.04,0,0,141.21199808219862,1.6,Intel Core i5,0,256,AMD,Others/No OS/Linux
221,Lenovo,2 in 1 Convertible,8,1.74,2557.63,0,1,157.3505121487356,1.6,Intel Core i5,0,256,Intel,Windows
222,Toshiba,Ultrabook,8,1.2,3877.69,0,0,165.6321180513006,2.5,Intel Core i7,0,256,Intel,Windows
223,HP,Notebook,8,2.1,2258.9,0,0,141.21199808219862,1.6,Intel Core i5,1000,0,Intel,Windows
224,Dell,Gaming,16,4.42,6988.21,0,1,127.33567457123111,2.8,Intel Core i7,1000,256,Nvidia,Windows
225,Acer,Notebook,8,2.2,2367.01,0,0,141.21199808219862,2.7,Intel Core i7,0,256,Nvidia,Windows
226,Dell,Notebook,16,2.3,2443.86,1,0,141.21199808219862,2.7,Intel Core i7,1000,0,AMD,Windows
